# VesselTripName,NetStation,Replicate,CollectedBy,DateUTC,StartTimeUTC,EndTimeUTC,Duration,NetTypeMeshSizeDimensionsNetMouth,VesselSpeed,VesselDirection,WindSpeed,WindDirection,SeaTemperature,Salinity,Depth,StartLatitude,StartLongitude,EndLatitude,EndLongitude,StartFlowmeter,EndFlowmeter,Flow,HardPlastics,SoftPlastics,PlasticLines,Styrofoam,Pellets,TotalPlastics,DriftingWood,Pumice,Cs
Southern Surveyor/ss2011_t02,1,1,"Julia Reisser, Briony Hutton",10.06.11,9:12,9:27,15,Neuston/ 335/ 1.2 x 0.6,2.5,151,19,88,15,35.25,2667,-39.31105,163.59665,-39.31427,163.58242,138018,174522,36504,1,0,0,0,0,1,0,0,653.5089
Southern Surveyor/ss2011_t02,1,2,"Julia Reisser, Briony Hutton",10.06.11,9:32,9:47,15,Neuston/ 335/ 1.2 x 0.6,2.7,256,19,79,15,35.245,2611.3,-39.31473,163.58022,-39.31762,163.56672,33645,44865,11220,1,0,0,0,0,1,0,0,691.9619
Southern Surveyor/ss2011_t02,1,3,"Julia Reisser, Briony Hutton",10.06.11,9:49,10:04,15,Neuston/ 335/ 1.2 x 0.6,3,257,20,81,15,35.245,2580,-39.318,163.56478,-39.32107,163.54815,44865,64995,20130,1,0,0,0,0,1,0,4,566.7916
Southern Surveyor/ss2011_t02,2,1,"Julia Reisser, Briony Hutton",11.06.11,5:51,6:01,10,Neuston/ 335/ 1.2 x 0.6,2.1,190,15,193,15.3,35.37,4513,-39.95148,160.418,-39.95923,160.41617,NA,NA,NA,1,0,0,0,0,1,1,0,950.4462
Southern Surveyor/ss2011_t02,2,2,"Julia Reisser, Briony Hutton",11.06.11,8:55,9:10,15,Neuston/ 335/ 1.2 x 0.6,2.1,190,16,162,15.3,35.37,4688,-40.04405,160.10113,-40.05392,160.09768,NA,NA,NA,3,0,0,0,0,3,3,0,2198.9015
Southern Surveyor/ss2011_t02,2,3,"Julia Reisser, Briony Hutton",11.06.11,9:11,9:26,15,Neuston/ 335/ 1.2 x 0.6,2.2,189,17,191,15.3,35.36,4700,-40.05475,160.11415,-40.06503,160.0941,NA,NA,NA,2,0,1,0,0,3,0,0,1217.1161
Southern Surveyor/ss2011_t02,3,1,"Julia Reisser, Briony Hutton",12.06.11,10:10,10:25,15,Neuston/ 335/ 1.2 x 0.6,2.5,224,16,176,15.3,35.46,4382,-40.63478,155.89042,-40.6406,155.87887,218911,248257,29346,2,0,0,0,0,2,0,0,1424.9243
Southern Surveyor/ss2011_t02,3,2,"Julia Reisser, Briony Hutton",12.06.11,10:26,10:41,15,Neuston/ 335/ 1.2 x 0.6,2.2,224,16,179,15.3,35.46,4386,-40.64098,155.8671,-40.64558,155.8671,248257,276781,28524,2,0,0,0,0,2,0,0,3254.6425
Southern Surveyor/ss2011_t02,3,3,"Julia Reisser, Briony Hutton",12.06.11,9:52,10:07,15,Neuston/ 335/ 1.2 x 0.6,2.5,223,15,165,15.2,35.45,4383,-40.62293,155.93253,-40.62293,155.90375,54435,66742,12307,0,0,0,0,0,0,0,0,0
Southern Surveyor/ss2011_t02,4,1,"Julia Reisser, Briony Hutton",13.06.11,9:34,9:49,15,Neuston/ 335/ 1.2 x 0.6,2.5,242,7,230,15.1,35.483,4860,-41.13447,152.28345,-41.13773,152.27155,351427,390537,39110,1,0,0,0,0,1,1,1,785.9008
Southern Surveyor/ss2011_t02,4,2,"Julia Reisser, Briony Hutton",13.06.11,9:51,10:07,16,Neuston/ 335/ 1.2 x 0.6,2.1,241,10,204,15.1,35.47,4865,-41.13793,152.27077,-41.1416,152.25833,390537,433102,42565,0,0,0,0,0,0,0,0,0
Southern Surveyor/ss2011_t02,4,3,"Julia Reisser, Briony Hutton",13.06.11,10:09,10:24,15,Neuston/ 335/ 1.2 x 0.6,2.1,240,12,183,15.1,35.483,4865,-41.14212,152.25633,-41.142,152.24533,433102,473754,40652,2,0,0,0,0,2,0,0,1810.1748
Southern Surveyor/ss2011_t03,5,1,"Julia Reisser, Luana Lins",12.08.11,21:03,21:18,15,Neuston/ 335/ 1.2 x 0.6,1.4,321,4,209,13.1,35.36,656.1,-43.57728,145.79962,-43.57324,145.79255,505456,538984,33528,27,0,1,0,0,28,0,195,32167.5052
Southern Surveyor/ss2011_t03,5,2,"Julia Reisser, Luana Lins",12.08.11,21:21,21:36,15,Neuston/ 335/ 1.2 x 0.6,1.6,328,3,250,13.1,35.37,720.7,-43.57258,145.79152,-43.56751,145.78573,538984,577595,38611,15,10,1,0,0,26,0,82,29582.8007
Southern Surveyor/ss2011_t03,5,3,"Julia Reisser, Luana Lins",12.08.11,21:38,21:54,16,Neuston/ 335/ 1.2 x 0.6,2.1,327,1,200,13.3,35.39,750.4,-43.56667,145.78497,-43.56078,145.78085,577595,618180,40585,7,1,0,0,0,8,0,22,9081.7265
Southern Surveyor/ss2011_t03,6,1,"Julia Reisser, Luana Lins",13.08.11,10:59,11:14,15,Neuston/ 335/ 1.2 x 0.6,1.1,345,19,20,13.6,35.46,743.5,-41.92197,144.54192,-41.91964,144.53988,618187,634649,16462,8,0,1,0,0,9,0,9,24299.6011
