# Plastic,NetStation,Replicate,Type,Length,Colour,PolymerType
1,24,1,Hard,4.5,White/Transparent,Polypropylene
2,25,1,Hard,4.3,White/Transparent,Polyethylene
3,25,1,Hard,4,White/Transparent,Polyethylene
4,25,1,Hard,2.7,White/Transparent,NA
5,25,1,Hard,3.3,White/Transparent,Polyethylene
6,25,1,Hard,2,White/Transparent,NA
7,25,1,Hard,2.6,Green,Polyethylene
8,25,1,Hard,2.7,White/Transparent,NA
9,25,1,Hard,2,White/Transparent,Polyethylene
10,25,1,Hard,2.7,White/Transparent,NA
11,25,1,Hard,2,White/Transparent,NA
12,25,2,Hard,2.1,White/Transparent,Polyethylene
13,25,2,Hard,2.4,White/Transparent,Polyethylene
14,25,2,Hard,1.9,White/Transparent,Polypropylene
15,25,2,Hard,1.75,White/Transparent,NA
16,25,2,Hard,2,White/Transparent,NA
17,25,2,Hard,1.5,White/Transparent,NA
18,25,2,Hard,2,White/Transparent,NA
19,25,2,Hard,2.5,White/Transparent,Polyethylene
20,25,2,Hard,1.5,White/Transparent,NA
21,25,2,Hard,2,White/Transparent,NA
22,25,2,Hard,12.5,White/Transparent,NA
23,25,3,Hard,3.1,Blue,Polyethylene
24,25,3,Hard,3.2,White/Transparent,Polyethylene
25,25,3,Hard,27.9,Blue,NA
26,25,1,Soft,14.1,White/Transparent,NA
27,25,1,Soft,10,White/Transparent,NA
28,25,3,Hard,5.2,White/Transparent,Polyethylene
29,25,3,Hard,3.6,White/Transparent,NA
30,25,3,Hard,3.6,White/Transparent,Polyethylene
31,25,3,Hard,1.8,White/Transparent,NA
32,25,3,Hard,2.27,White/Transparent,NA
33,25,3,Hard,3.18,White/Transparent,NA
34,25,3,Hard,2.73,White/Transparent,Polyethylene
35,25,3,Hard,3.64,White/Transparent,NA
36,25,3,Hard,3.64,White/Transparent,NA
37,25,3,Hard,2.73,White/Transparent,NA
38,25,3,Hard,0.91,Yellow,NA
39,25,3,Hard,1.36,White/Transparent,NA
40,25,3,Hard,1.36,White/Transparent,Polyethylene
41,26,1,Hard,1.6,White/Transparent,NA
42,27,1,Hard,5.8,White/Transparent,Polyethylene
43,27,1,Hard,1.8,White/Transparent,NA
44,27,2,Hard,25.24,Green,Polyethylene
45,27,2,Hard,4.76,Blue,NA
46,27,2,Hard,13.33,Blue,NA
47,27,2,Hard,8.57,White/Transparent,NA
48,27,2,Hard,3.6,White/Transparent,NA
49,27,2,Hard,3.2,White/Transparent,Polypropylene
50,27,2,Hard,3.2,White/Transparent,NA
51,27,2,Hard,6.4,White/Transparent,NA
